Date,Forecasted_Price
2024-11-05 00:00:00+00:00,683.4028
2024-11-06 00:00:00+00:00,682.41656
2024-11-07 00:00:00+00:00,680.64496
2024-11-08 00:00:00+00:00,678.30475
2024-11-11 00:00:00+00:00,675.6007
2024-11-12 00:00:00+00:00,672.67053
2024-11-13 00:00:00+00:00,669.61914
2024-11-14 00:00:00+00:00,666.5122
2024-11-15 00:00:00+00:00,663.40765
2024-11-18 00:00:00+00:00,660.3287
2024-11-19 00:00:00+00:00,657.3229
2024-11-20 00:00:00+00:00,654.3768
2024-11-21 00:00:00+00:00,651.51337
2024-11-22 00:00:00+00:00,648.74084
2024-11-25 00:00:00+00:00,646.06946
2024-11-26 00:00:00+00:00,643.4998
2024-11-27 00:00:00+00:00,641.02734
2024-11-28 00:00:00+00:00,638.64655
2024-11-29 00:00:00+00:00,636.363
2024-12-02 00:00:00+00:00,634.09766
2024-12-03 00:00:00+00:00,631.915
2024-12-04 00:00:00+00:00,629.8237
2024-12-05 00:00:00+00:00,627.824
2024-12-06 00:00:00+00:00,625.89264
2024-12-09 00:00:00+00:00,624.0313
2024-12-10 00:00:00+00:00,622.2419
2024-12-11 00:00:00+00:00,620.5071
2024-12-12 00:00:00+00:00,618.8397
2024-12-13 00:00:00+00:00,617.22906
2024-12-16 00:00:00+00:00,615.6756
